State,state_abbrev,2018 Population
Alabama,AL,4888949
Alaska,AK,738068
Arizona,AZ,7123898
Arkansas,AR,3020327
California,CA,39776830
Colorado,CO,5684203
Connecticut,CT,3588683
Delaware,DE,971180
District of Columbia,DC,703608
Florida,FL,21312211
Georgia,GA,10545138
Hawaii,HI,1426393
Idaho,ID,1753860
Illinois,IL,12768320
Indiana,IN,6699629
Iowa,IA,3160553
Kansas,KS,2918515
Kentucky,KY,4472265
Louisiana,LA,4682509
Maine,ME,1341582
Maryland,MD,6079602
Massachusetts,MA,6895917
Michigan,MI,9991177
Minnesota,MN,5628162
Mississippi,MS,2982785
Missouri,MO,6135888
Montana,MT,1062330
Nebraska,NE,1932549
Nevada,NV,3056824
New Hampshire,NH,1350575
New Jersey,NJ,9032872
New Mexico,NM,2090708
New York,NY,19862512
North Carolina,NC,10390149
North Dakota,ND,755238
Ohio,OH,11694664
Oklahoma,OK,3940521
Oregon,OR,4199563
Pennsylvania,PA,12823989
Rhode Island,RI,1061712
South Carolina,SC,5088916
South Dakota,SD,877790
Tennessee,TN,6782564
Texas,TX,28704330
Utah,UT,3159345
Vermont,VT,623960
Virginia,VA,8525660
Washington,WA,7530552
West Virginia,WV,1803077
Wisconsin,WI,5818049
Wyoming,WY,573720
Puerto Rico,PR,3193694
American Samoa,AS,55191
Guam,GU,162742
Northern Mariana Islands,MP,53883
US Virgin Islands,VI,106405